INN,product
572012927,услуга охранный частный организация этот группировка
602027063,яблоко овощ листовой стебельный прочий макароны
608043590,яблоко овощ листовой стебельный прочий макароны
701005430,услуга пожарный система обеспечение безопасность оказание
702006821,охладить мясо сельскохозяйственный птица говядина охладить
703006616,комплекс рентгеновский диагностический диак рэй тот
703008677,водоснабжение водоотведение услуга холодное водоснабжение водоснабжение
706004920,пищевой поставка продукт лот соль вермишель
706005931,банан фрукт лимон фрукт яблоко фрукт
707012554,филе рыба мороженое тресковый морской филе
708016495,препарат поставка лекарственный мл мг картонный
711004475,выполнение работа п проектный строительство общеобразовательный
711017033,оказание услуга предоставление аренда нежилой помещение
711034141,водоснабжение водоотведение услуга холодное водоснабжение водоснабжение
711035586,поставка препарат лекарственный мл мг картонный
711035699,пищевой поставка продукт лот соль вермишель
711038026,услуга федеральный фельдъегерский связь оказание уд
714006304,услуга пожарный система обеспечение безопасность оказание
715001490,продукт овощ масло творог пищевой прочий
721008670,преподавательский услуга программа повышение квалификация профессиональный
721010238,услуга право программный обеспечение предоставление лицензия
721021159,услуга связь оказание телефонный федеральный фельдъегерский
721021617,оказание услуга предоставление аренда нежилой помещение
721060278,вич антиген антитело ивд набор иммуноферментный
725011440,эа г поставка комплекс тот медицинский
725012780,овощ продукт пищевой прочий столовая чай
725014811,выполнение работа п проектный строительство общеобразовательный
725022026,услуга система обеспечение безопасность оказание технический
725029575,услуга система обеспечение безопасность технический обслуживание
800010880,пакет сбор хранение транспортировка медицинский отход
800010960,контейнер лабораторный общий назначение нестерильный поставка
814044198,оказание услуга аренда нежилой помещение приспособление
814151922,н капитальный ремонт здание бу рк
816010155,н капитальный ремонт здание бу рк
816035897,приспособление ортопедический прочий поставка технический средство
902007156,моющий средство хозяйственный товар ковролин контейнер
1101486100,спортивный р проект костюм поставка экипировка
1102007141,проведение флюорографический исследование подросток цифровой проекция
1102017196,проведение флюорографический исследование подросток цифровой проекция
1103022664,поставка кисломолочный продукция рыба трескообразный мороженый
1103037935,молоко питьевой поставка молоко питьевой молоко
1103046545,рыба трескообразный мороженый поставка рыба рыба
1104012203,продукт поставка питание нужда воспитанник сотрудник
1106024395,продукт поставка питание нужда воспитанник сотрудник
1113001543,поставка лекарственный препарат медицинский применение применять
1207020090,сыр детский питание рыба трескообразный мороженый
1210003585,хлеб недлительный хранение пшеничный ржано хлеб
1213004594,молоко питьевой сметана творог кроме зернёный
1215038221,поставка медицинский хлорпромазин мл гастроскоп гибкий
1215135539,лицензия право использование скзь криптопро версия
1215136109,оказание услуга повышение квалификация организация защита
1215227469,гастроскоп гибкий видеоэндоскоп пентакса исследование желудочный
1215233085,хлеб недлительный хранение пшеничный молоко питьевой
1327029200,бозентан поставка лекарственный препарат медицинский применение
1435064435,мл поставка товар мг единица измерение
1501002770,организация питание оказание услуга образовательный дошкольный
1501007023,оказание услуга организация питание бюджетный профессиональный
1501008073,реагент закупка лаборатория ивд общий набор
1502024494,тепловой энергия вода компонент подача горячий
1511010804,говядина охладить говядина охладить говядина говядина
1513008247,дабрафениб поставка лекарственный препарат дло дабрафениб
1513033645,организация питание оказание услуга образовательный учреждение
1513051041,оказание услуга организация питание дошкольный образовательный
1513083741,тепловой энергия вода компонент подача горячий
1601000656,государственный контракт нужда республика татарстан молоко
1601005735,агрыз водоотведение холодное водоснабжение агрыз агрыз
1603001214,поставка государственный контракт нужда республика татарстан
1604000982,медицинский средство обеспечение закупка хранение доставка
1605001410,поставка топливо дизельный экологический класс ниже
1605002485,услуга регулярный перевозка пассажир автобус учиться
1605002911,услуга регулярный перевозка пассажир автобус учиться
1605004563,энергия тепловой отпустить котельная энергия энергия
1605004771,энергия тепловой отпустить котельная энергия энергия
1605004796,энергия тепловой отпустить котельная энергия энергия
1605004806,энергия тепловой отпустить котельная энергия энергия
1605004813,энергия тепловой отпустить котельная энергия энергия
1605004820,энергия тепловой отпустить котельная энергия энергия
1605004860,энергия тепловой отпустить котельная энергия энергия
1605004877,энергия тепловой отпустить котельная энергия энергия
1605004884,энергия тепловой отпустить котельная энергия энергия
1605004933,энергия тепловой отпустить котельная энергия энергия
1605005091,услуга регулярный перевозка пассажир автобус учиться
1606004125,охрана услуга частный выставление пост год
1609009587,текущий содержание объект благоустройство мо город
1609010695,теплоснабжение теплоснабжение год теплоснабжение теплоснабжение теплоснабжение
1609010800,вода отпуск питьевой сточный год приём
1609011843,оказание услуга организация ежедневный горячее диетический
1609012050,теплоснабжение теплоснабжение год теплоснабжение теплоснабжение теплоснабжение
1609012269,вода водоснабжение отпуск питьевой переть сточный
1609012773,год вода текущий содержание объект благоустройство
1611000750,услуга сотовый связь оказание предоставление радиотелефонный
1611291098,организация питание воспитанник дошкольный образовательный учреждение
1612000753,услуга обращение твёрдый коммунальный отход поставка
1612002398,год оказание услуга организация питание поставка
1612004941,услуга экземпляр система консультантплюс адаптация сопровождение
1612006787,поставка тепловой энергия мбоу ципьинский сош
1614004560,услуга технический обслуживание система мониторинг автоматический
1614004697,услуга технический обслуживание система мониторинг автоматический
1614004810,услуга технический обслуживание система мониторинг автоматический
1614005732,услуга технический обслуживание система мониторинг автоматический
1615004467,поставка молоко продукт питание обеспечение нужда
1623008257,поставка шина автомобиль исполнительный комитет кукморский
1623008296,город кукмор год оказание услуга охрана
1623010947,содержание парковый сквер город кукмор год
1623012334,оказание услуга охрана общественный порядок массовый
1624004880,организация питание образовательный год дошкольный учреждение
1624004960,организация питание год образовательный дошкольный учреждение
1624006703,организация питание год образовательный дошкольный учреждение
1624006735,организация питание образовательный год дошкольный учреждение
1624017670,организация питание образовательный год дошкольный учреждение
1624446694,услуга пассажирский авиаперевозка услуга пассаржирский авиаперевозка
1626007212,хлеб полугодие пшеничный дарницкий хлеб хлеб
1626008569,благоустройство содержание улица город мамадыш год
1626008865,благоустройство содержание улица город мамадыш год
1627003490,агрыз водоотведение холодное водоснабжение агрыз агрыз
1627009710,хлеб поставка продукт питание дарницкий пшеничный
1628000244,холодное водоснабжение водоотведение год холодное холодное
1628006905,холодное водоснабжение водоотведение год холодное холодное
1631002386,услуга новошешминский оказание организация муниципальный район
1631002499,услуга питание оказание организация новошешминский муниципальный
1631009800,перевозка услуга учиться рт новошешминский организация
1631009945,оказание услуга организация питание новошешминский муниципальный
1631009960,оказание услуга организация питание новошешминский муниципальный
1633010449,организация питание ребёнок проживать детский оздоровительный
1635001672,оказание услуга год организация ежедневный горячее
1635002203,поставка щётка год паста томатный продукт
1635006938,дератизация дезинсекция ул оказание услуга помещение
1638001279,государственный контракт нужда республика татарстан право
1639003134,тепловой энергия тепловой энергия тепловой тепловой
1639019310,организация питание воспитанник дошкольный образовательный учреждение
1639019712,организация питание воспитанник дошкольный образовательный учреждение
1639028805,г поставка дизельный топливо бензин розничный
1639045649,опилка древесный поставка мбу спортивный школа
1639056739,тепловой энергия тепловой энергия тепловой тепловой
1640003308,перевозка услуга учиться рт новошешминский организация
1643000739,водоотведение негативный воздействие оказание услуга отпуск
1643002863,государственный контракт нужда республика татарстан молоко
1643004331,услуга оказание перевозка учиться содержание автотранспортный
1643013463,водоотведение вода негативный воздействие оказание услуга
1643014019,услуга оказание перевозка учиться содержание автотранспортный
1644029473,оказание услуга предупреждение пресечение правонарушение преступление
1644033871,ребёнок организация оказание услуга отдых каникулярный
1644040195,поставка топливо дизельный розничный бензин экологический
1644067711,поставка тепловой энергия год поставка поставка
1645005475,услуга подача холодное водоснабжение водоотведение услуга
1645008589,услуга телефонный связь год услуга услуга
1645016886,водоснабжение водоотведение услуга холодное подача оказание
1645023097,услуга ребёнок трудный жизненный ситуация организация
1645026299,поставка тепловой энергия год поставка поставка
1646018318,поставка электроэнергия поставка электроэнергия поставка поставка
1646018325,поставка электроэнергия поставка электроэнергия год поставка
1646018332,поставка электроэнергия поставка электроэнергия поставка поставка
1646018357,поставка электроэнергия поставка электроэнергия поставка поставка
1646020589,поставка тепло елабуга поставка тепло елабуга
1646038258,оказание услуга перевод нужда министерство экономика
1647002310,поставка нужда гауз заинский црб год
1647008182,услуга транспортирование распределение вода водопровод услуга
1647008792,муниципальный бюджетный дошкольный образовательный учреждение год
1647014813,чак муниципальный поставка кондитерский изделие год
1647015180,чак муниципальный поставка кондитерский изделие год
1647016930,услуга транспортирование распределение вода водопровод услуга
1648002345,услуга водоснабжение водоотведение снабжение тепловой энергия
1648006283,государственный контракт нужда республика татарстан право
1648017567,снабжение тепловой энергия горячий вода снабжение
1648033456,государственный контракт нужда республика татарстан молоко
1648041104,услуга водоснабжение водоотведение услуга водоснабжение водоотведение
1649021125,вода поставка холодный приём сточный нужда
1650040355,услуга теплоснабжение связь услуга услуга услуга
1650050321,теплоэнергия теплоэнергия г теплоэнергия теплоэнергия теплоэнергия
1650057341,оказание услуга частный охрана нужда мадоу
1650081619,холодное водоснабжение водоотведение холодное водоснабжение водоотведение
1650082958,водоснабжение услуга водоснабжение год водоснабжение водоснабжение
1650084169,услуга предоставление внутризоновый междугородный международный телефонный
1650084842,связь услуга междугородний связь связь связь
1650085701,организация питание воспитанник сбалансированный ч пребывание
1650085772,отход неопасный бытовой непригодный повторный использование
1650085821,услуга обращение тко услуга обращение тко
1650086134,оказание услуга частный охрана оказание оказание
1650086159,оказание услуга технический обслуживание ремонт система
1650086173,организация питание воспитанник сбалансированный ч пребывание
1650086230,организация питание воспитанник сбалансированный ч пребывание
1650086590,услуга обращение тко услуга обращение тко
1650086631,организация питание воспитанник сбалансированный ч пребывание
1650086840,услуга оказание технический обслуживание ремонт система
1650086871,организация питание воспитанник услуга сбалансированный ч
1650095629,холодное водоснабжение водоотведение холодное водоснабжение водоотведение
1650095890,снабжение энергетический ресурс объект энергоснабжение теплоснабжение
1650100830,организация питание воспитанник сбалансированный ч пребывание
1650101008,тепловой энергия г тепловой энергия г
1650104947,снабжение энергетический ресурс объект энергоснабжение снабжение
1650123932,дератизация дезинсекция оказание услуга нужда муниципальный
1650127743,холодное водоснабжение водоотведение холодное водоснабжение водоотведение
1650143390,услуга связь услуга связь услуга услуга
1650144072,услуга обращение твёрдый коммунальный отход связь
1650181148,связь услуга связь связь связь связь
1650182536,оказание услуга проведение лабораторный исследование год
1650182656,оказание услуга связь оказание услуга связь
1650182663,оказание услуга обращение тко оказание оказание
1650210600,услуга оказание охрана нужда частный обращение
1650210688,услуга передача связь данные цель голосовой
1650213791,оказание услуга связь оказание услуга связь
1650223870,оказание услуга нужда воспитанник муниципальный дошкольный
1650226462,услуга оказание организация питание воспитанник сбалансированный
1650227586,услуга оказание воспитанник организация питание нужда
1650231670,организация питание воспитанник сбалансированный ч пребывание
1650248890,услуга охрана оказание частный нужда детский
1650268423,услуга система технический обслуживание ремонт пожарный
1650271994,дератизация дезинсекция оказание услуга санитарный обработка
1650272109,оказание услуга организация сбалансированный питание воспитанник
1650283157,организация питание воспитанник сбалансированный ч пребывание
1650283990,оказание услуга нужда воспитанник муниципальный дошкольный
1650284030,оказание услуга нужда дератизация муниципальный дошкольный
1650297657,водоснабжение холодное водоотведение услуга год водоснабжение
1650297664,ребёнок организация оказание услуга отдых каникулярный
1650306365,оказание услуга тко обращение оказание оказание
1650306372,организация питание воспитанник сбалансированный ч пребывание
1650326509,услуга обращение отход твёрдый оказание коммунальный
1650340800,оказание услуга вывоз обезвреживание медицинский отход
1650378761,организация питание воспитанник услуга сбалансированный ч
1650378786,организация сбалансированный питание воспитанник ч пребывание
1650381323,услуга организация питание воспитанник сбор неопасный
1650391610,услуга связь организация питание воспитанник сбалансированный
1650403834,оказание услуга обращение твёрдый отход оказание
1651007618,услуга узел водоснабжение обслуживание г оказание
1651014982,организация горячее питание общеобразовательный обучаться полуг
1651021059,услуга связь услуга связь услуга услуга
1651024356,поставка государственный контракт нужда республика татарстан
1651028047,доу г нижнекамск нижнекамский муниципальный район
1651028054,организация питание дошкольный учреждение оказание услуга
1651028061,организация питание дошкольный учреждение оказание услуга
1651028086,оказание услуга организация питание доу г
1651028262,организация питание дошкольный учреждение оказание услуга
1651028304,организация питание год дошкольный учреждение оказание
1651028382,организация питание оказание услуга доу г
1651035245,водоснабжение услуга г водоотведение горячее холодный
1651037355,оказание услуга технический обслуживание система противопожарный
1651043711,оказание услуга технический обслуживание система противопожарный
1651050363,выполнение работа технический обслуживание вспомогательный оборудование
1651057873,государственный контракт нужда республика татарстан право
1651078030,узел обслуживание учёт водоснабжение погодный регулирование
1651091793,дератизация дезинсекция оказание услуга проведение противоэпидемический
1652006416,хлеб недлительный хранение поставка хлеб хлеб
1652009456,услуга ребёнок трудный жизненный ситуация организация
1652022810,услуга холодный водоснабжение водоотведение нужда чистопольский
1652026236,хлеб недлительный хранение поставка хлеб хлеб
1653003954,услуга художник свет музыкальный оформление спектакль
1653006666,водоснабжение водоотведение оказание услуга холодное г
1653011480,энергия тепловой г энергия тепловой г
1653015798,услуга нужда жилищный инспекция государственный межрайонный
1653021329,снабжение тепловой энергия снабжение тепловой энергия
1654002953,поставка продукция полиграфический лист бланк документ
1654003114,вода водоотведение нужда водоснабжение поставка холодный
1654003139,поставка холодное водоснабжение водоотведение азнакаево поставка
1654005672,энергетический ресурс снабжение тепловой энергия горячий
1654006250,аренда нежилой помещение аренда нежилой помещение
1654017170,снабжение энергия здание мз рт тепловой
1654019570,услуга оказание нужда республика татарстан связь
1654038766,медицинский средство лекарственный изделие таттехмедфарм г
1655007760,стоматологический материал поставка расходный нужда поликлиника
1655027397,услуга местный внутризоновый телефонный связь услуга
1655032566,год выполнение работа технический обслуживание вспомогательный
1655043381,ремонт оборудование оказание услуга технический обслуживание
1655078747,оказание услуга охрана оказание услуга охрана
1655080827,гауз городской поликлиника охрана г казань
1655104997,рамка гоз продовольственный обеспечение государственный оборонный
1655139566,катетер внутрисосудистый проводниковый одноразовый использование катетер
1655141501,услуга оказание нужда министерство экономика республика
1655153680,аренда нежилой помещение аренда нежилой помещение
1655160688,охрана услуга частный выставление пост оказание
1655229675,услуга оказание обмен чистка ковровый покрытие
1655239578,охрана услуга частный выставление пост охрана
1655249311,технический ремонт государственный обслуживание татарстан военный
1655266892,охрана услуга частный выставление пост год
1655290535,проводник коронарный периферический сосуд доступ одноразовый
1655355214,поставка полиграфический продукция лист бланк документ
1655382320,гемоглобин определение гликированный поставка реагент анализатор
1655385434,система мониторинг пожарный технический обслуживание автоматический
1655427395,сервисный оказание услуга поддержка контракт серверный
1655440766,услуга система технический обслуживание мониторинг оказание
1655460191,рамка поставка гоз продовольственный обеспечение государственный
1655485196,услуга чистка уборка прочий право заключение
1656007080,организация питание год полный день пребывание
1656009680,оказание услуга проведение лабораторный исследование год
1656018081,услуга дератизация экземпляр система консультантплюс дезинсекция
1656031847,обслуживание тепловой узел содержание г казань
1656033379,поставка продукт питание рамка кисель г
1656067515,ликвидация несанкционированный свалка мусор территория кировский
1657019112,год г казань услуга система оказание
1657022718,г поставка дизельный топливо бензин розничный
1657036630,энергия тепловой снабжение энергетический ресурс г
1657041206,оказание услуга предоставление аренда контрольный кассовый
1657045627,аренда нежилой помещение аренда нежилой помещение
1657054678,оказание услуга электроснабжение отделение гку рцмп
1657065937,поставка расходный материал оказание высокотехнологичный медицинский
1657069000,оказание услуга обращение твёрдый коммунальный отход
1657079619,аудиогид проект зарядный устройство поставка рамка
1657082308,поставка год электроэнергия электрический энергия энергоснабжение
1657104713,охрана услуга частный выставление пост оказание
1657126080,оказание услуга эксплуатация технический обслуживание ремонт
1658012247,анализатор реагент материал расходный серия поставка
1658022679,оказание услуга водоснабжение водоотведение г оказание
1658023383,организация питание ребёнок проживать детский оздоровительный
1658122828,ликвидация несанкционированный свалка мусор территория кировский
1658200723,оказание услуга заправка картридж принтер мфу
1658204044,анализатор реагент серия вариант исполнение материал
1658215254,услуга охрана оказание частный нужда мадоу
1659007296,оказание услуга вывоз обезвреживание медицинский отход
1659013349,гауз городской поликлиника охрана услуга технический
1659076797,услуга частный охрана охранный технический мониторинг
1659106480,набор гинекологический акушерский операция содержать лекарственный
1659116979,принтер поставка оргтехника государственный нужда республика
1659148755,охрана услуга частный выставление пост государственный
1659183301,технический ремонт государственный обслуживание татарстан военный
1659183598,организация питание год оказание услуга пребывание
1659196491,доу поставка нужда г нижнекамск дезинфицировать
1659208877,медицинский расходный материал отделение кардиохирургия рамка
1660000344,осуществление специальный обслуживание федеральный рейс представитель
1660013417,гелий газообразный сжатый поставка нужда гауз
1660028068,оказание услуга предупреждение пресечение правонарушение преступление
1660031631,газоснабжение год газоснабженик фап б арташа
1660038002,технический обслуживание работа ремонт бытовой отопительный
1660045835,покрытие ковровый оказание услуга обмен чистка
1660047335,кислород жидкий медицинский поставка кислород кислород
1660049999,абиратерон поставка лекарственный препарат таблетка медицинский
1660071338,оказание информационный услуга сопровождение иметься справочный
1660073416,услуга питание оказание организация новошешминский муниципальный
1660077844,услуга телефонный связь фиксировать услуга услуга
1660098481,услуга чистка уборка прочий право заключение
1660121740,оказание услуга обезвреживание отход класс вывоз
1660131594,пластырь медицинский основа поставка лейкопластырь нетканый
1660139226,оказание услуга технический обслуживание дизель генераторный
1660149841,охрана услуга выставление пост частный оказание
1660187325,услуга система обеспечение безопасность оказание технический
1660202051,ремонт эндоскопический оборудование ремонт эндоскопический оборудование
1660238322,организация питание горячее общеобразовательный оказание услуга
1660274803,услуга обращение твёрдый коммунальный отход оказание
1660290499,гелий газообразный сжатый поставка нужда гауз
1660299822,комплекс регистрация биоэлектрический активность головной мозг
1660306565,поставка шина автомобиль исполнительный комитет кукморский
1660328953,телевизор телетекст приём программа скрытый субтитр
1660348614,поставка год продукт питание огурец паста
1681000024,услуга связь предоставление оказание сеть доступ
1683011688,услуга система обеспечение безопасность обслуживание технический
1684015780,топливный бензин автомобильный розничный реализация поставка
1686010322,средство дезинфицировать поставка хлорамин б дезинфекцировать
1686028464,животное оказание услуга комплекс государственный приют
1809008460,масло сливочный творог нужда учреждение октябрьский
1828029723,услуга дератизация дезинсекция акарицидный обработка барьерный
1829013349,поставка нужда учреждение г глазов изделие
